-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 0 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=471621, spec=[0, 6, 0, 2], text=False, value_loss_coef=0.5)

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 0 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=948754, spec=[0, 6, 0, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Device: cpu

Optimizer loaded

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0676 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.915 | V -0.159 | pL -0.026 | vL 0.002 | ∇ 0.056
U 1 | F 002048 | FPS 0674 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.929 | V 0.073 | pL 0.014 | vL 0.001 | ∇ 0.042
U 2 | F 004096 | FPS 0671 | D 6 | rR:μσmM 0.02 0.09 0.00 0.36 | F:μσmM 14.3 55.4 0.0 229.0 | H 1.933 | V -0.139 | pL -0.027 | vL 0.001 | ∇ 0.023
U 2 | F 004096 | FPS 0676 | D 6 | rR:μσmM 0.03 0.12 0.00 0.51 | F:μσmM 10.9 42.4 0.0 175.0 | H 1.927 | V 0.067 | pL 0.007 | vL 0.001 | ∇ 0.023
U 3 | F 006144 | FPS 0673 | D 9 | rR:μσmM 0.04 0.10 0.00 0.36 | F:μσmM 314.8 25.5 229.0 324.0 | H 1.922 | V -0.107 | pL -0.040 | vL 0.002 | ∇ 0.057
U 3 | F 006144 | FPS 0676 | D 9 | rR:μσmM 0.03 0.12 0.00 0.51 | F:μσmM 314.7 36.1 175.0 324.0 | H 1.932 | V 0.044 | pL 0.016 | vL 0.000 | ∇ 0.031
U 4 | F 008192 | FPS 0671 | D 12 | rR:μσmM 0.04 0.10 0.00 0.36 | F:μσmM 314.8 25.5 229.0 324.0 | H 1.928 | V -0.090 | pL -0.015 | vL 0.000 | ∇ 0.024
U 4 | F 008192 | FPS 0674 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.942 | V 0.032 | pL 0.006 | vL 0.000 | ∇ 0.010
U 5 | F 010240 | FPS 0672 | D 15 | rR:μσmM 0.03 0.10 0.00 0.42 | F:μσmM 316.8 27.8 209.0 324.0 | H 1.939 | V 0.031 | pL 0.002 | vL 0.001 | ∇ 0.025
U 5 | F 010240 | FPS 0668 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.938 | V -0.074 | pL -0.013 | vL 0.000 | ∇ 0.016
U 6 | F 012288 | FPS 0685 | D 18 | rR:μσmM 0.03 0.10 0.00 0.42 | F:μσmM 316.8 27.8 209.0 324.0 | H 1.942 | V 0.028 | pL 0.006 | vL 0.000 | ∇ 0.010
U 6 | F 012288 | FPS 0673 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.940 | V -0.063 | pL -0.015 | vL 0.000 | ∇ 0.015
U 7 | F 014336 | FPS 0672 | D 21 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.023 | pL 0.004 | vL 0.000 | ∇ 0.008
U 7 | F 014336 | FPS 0671 | D 21 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V -0.055 | pL -0.010 | vL 0.000 | ∇ 0.011
U 8 | F 016384 | FPS 0679 | D 24 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.016 | pL 0.006 | vL 0.000 | ∇ 0.004
U 8 | F 016384 | FPS 0674 | D 24 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 321.1 11.4 277.0 324.0 | H 1.935 | V -0.039 | pL -0.016 | vL 0.000 | ∇ 0.023
U 9 | F 018432 | FPS 0674 | D 27 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V 0.014 | pL 0.002 | vL 0.000 | ∇ 0.004
U 9 | F 018432 | FPS 0669 | D 27 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 321.1 11.4 277.0 324.0 | H 1.942 | V -0.030 | pL -0.006 | vL 0.000 | ∇ 0.010
U 10 | F 020480 | FPS 0662 | D 30 | rR:μσmM 0.01 0.04 0.00 0.15 | F:μσmM 322.8 4.6 305.0 324.0 | H 1.945 | V 0.013 | pL 0.001 | vL 0.000 | ∇ 0.006
Status saved
U 10 | F 020480 | FPS 0665 | D 30 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V -0.023 | pL -0.004 | vL 0.000 | ∇ 0.006
Status saved
U 11 | F 022528 | FPS 0673 | D 33 | rR:μσmM 0.01 0.04 0.00 0.15 | F:μσmM 322.8 4.6 305.0 324.0 | H 1.944 | V 0.011 | pL 0.003 | vL 0.000 | ∇ 0.003
U 11 | F 022528 | FPS 0681 | D 34 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.945 | V -0.018 | pL -0.005 | vL 0.000 | ∇ 0.008
U 12 | F 024576 | FPS 0671 | D 36 | rR:μσmM 0.03 0.11 0.00 0.44 | F:μσmM 316.2 30.0 200.0 324.0 | H 1.941 | V 0.014 | pL -0.002 | vL 0.000 | ∇ 0.019
U 12 | F 024576 | FPS 0665 | D 37 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V -0.015 | pL -0.003 | vL 0.000 | ∇ 0.005
U 13 | F 026624 | FPS 0672 | D 40 | rR:μσmM 0.03 0.11 0.00 0.44 | F:μσmM 316.2 30.0 200.0 324.0 | H 1.939 | V 0.009 | pL 0.003 | vL 0.000 | ∇ 0.010
U 13 | F 026624 | FPS 0672 | D 40 | rR:μσmM 0.03 0.07 0.00 0.27 | F:μσmM 319.0 15.3 262.0 324.0 | H 1.939 | V -0.006 | pL -0.006 | vL 0.000 | ∇ 0.018
U 14 | F 028672 | FPS 0674 | D 43 | rR:μσmM 0.06 0.17 0.00 0.56 | F:μσmM 305.9 48.3 159.0 324.0 | H 1.940 | V 0.015 | pL -0.004 | vL 0.001 | ∇ 0.021
U 14 | F 028672 | FPS 0674 | D 43 | rR:μσmM 0.06 0.14 0.00 0.52 | F:μσmM 309.6 38.4 173.0 324.0 | H 1.940 | V 0.001 | pL -0.005 | vL 0.000 | ∇ 0.018
U 15 | F 030720 | FPS 0669 | D 46 | rR:μσmM 0.07 0.18 0.00 0.56 | F:μσmM 304.4 51.8 159.0 324.0 | H 1.942 | V 0.011 | pL 0.001 | vL 0.000 | ∇ 0.008
U 15 | F 030720 | FPS 0676 | D 47 | rR:μσmM 0.06 0.16 0.00 0.52 | F:μσmM 306.4 46.6 173.0 324.0 | H 1.940 | V 0.009 | pL -0.002 | vL 0.000 | ∇ 0.019
U 16 | F 032768 | FPS 0674 | D 49 | rR:μσmM 0.07 0.18 0.00 0.56 | F:μσmM 304.4 51.8 159.0 324.0 | H 1.940 | V 0.014 | pL -0.004 | vL 0.001 | ∇ 0.015
U 16 | F 032768 | FPS 0678 | D 50 | rR:μσmM 0.04 0.16 0.00 0.68 | F:μσmM 311.0 50.3 116.0 324.0 | H 1.935 | V 0.009 | pL -0.005 | vL 0.001 | ∇ 0.030
U 17 | F 034816 | FPS 0673 | D 52 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 323.0 3.9 308.0 324.0 | H 1.941 | V 0.015 | pL 0.005 | vL 0.001 | ∇ 0.023
U 17 | F 034816 | FPS 0678 | D 53 | rR:μσmM 0.04 0.16 0.00 0.68 | F:μσmM 311.0 50.3 116.0 324.0 | H 1.939 | V 0.002 | pL -0.002 | vL 0.000 | ∇ 0.012
U 18 | F 036864 | FPS 0671 | D 55 | rR:μσmM 0.05 0.16 0.00 0.67 | F:μσmM 310.2 49.5 119.0 324.0 | H 1.937 | V 0.018 | pL -0.003 | vL 0.000 | ∇ 0.025
U 18 | F 036864 | FPS 0678 | D 56 | rR:μσmM 0.04 0.16 0.00 0.68 | F:μσmM 311.0 50.3 116.0 324.0 | H 1.935 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.012
U 19 | F 038912 | FPS 0663 | D 59 | rR:μσmM 0.04 0.16 0.00 0.67 | F:μσmM 311.2 49.6 119.0 324.0 | H 1.942 | V 0.006 | pL 0.001 | vL 0.000 | ∇ 0.008
U 19 | F 038912 | FPS 0666 | D 59 | rR:μσmM 0.04 0.16 0.00 0.68 | F:μσmM 311.1 50.1 117.0 324.0 | H 1.936 | V 0.015 | pL -0.005 | vL 0.001 | ∇ 0.036
U 20 | F 040960 | FPS 0670 | D 62 | rR:μσmM 0.04 0.16 0.00 0.67 | F:μσmM 311.2 49.6 119.0 324.0 | H 1.943 | V 0.004 | pL 0.001 | vL 0.000 | ∇ 0.003
Status saved
U 20 | F 040960 | FPS 0665 | D 62 | rR:μσmM 0.10 0.21 0.00 0.68 | F:μσmM 296.0 62.4 117.0 324.0 | H 1.938 | V 0.016 | pL -0.005 | vL 0.001 | ∇ 0.017
Status saved
U 21 | F 043008 | FPS 0672 | D 65 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 323.0 3.9 308.0 324.0 | H 1.944 | V 0.003 | pL 0.000 | vL 0.000 | ∇ 0.004
U 21 | F 043008 | FPS 0673 | D 67 | rR:μσmM 0.10 0.21 0.00 0.66 | F:μσmM 296.2 61.7 121.0 324.0 | H 1.938 | V 0.020 | pL -0.003 | vL 0.001 | ∇ 0.030
U 22 | F 045056 | FPS 0668 | D 68 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 323.0 3.9 308.0 324.0 | H 1.945 | V 0.002 | pL 0.000 | vL 0.000 | ∇ 0.002
U 22 | F 045056 | FPS 0647 | D 70 | rR:μσmM 0.20 0.27 0.00 0.71 | F:μσmM 264.8 82.4 103.0 324.0 | H 1.916 | V 0.037 | pL -0.013 | vL 0.003 | ∇ 0.047
U 23 | F 047104 | FPS 0670 | D 71 | rR:μσmM 0.02 0.07 0.00 0.30 | F:μσmM 319.4 17.7 251.0 324.0 | H 1.942 | V 0.003 | pL -0.002 | vL 0.000 | ∇ 0.010
U 23 | F 047104 | FPS 0677 | D 73 | rR:μσmM 0.22 0.25 0.00 0.71 | F:μσmM 262.7 73.3 103.0 324.0 | H 1.928 | V 0.036 | pL -0.002 | vL 0.001 | ∇ 0.040
U 24 | F 049152 | FPS 0670 | D 74 | rR:μσmM 0.02 0.07 0.00 0.30 | F:μσmM 319.4 17.7 251.0 324.0 | H 1.944 | V 0.005 | pL 0.001 | vL 0.000 | ∇ 0.006
U 24 | F 049152 | FPS 0672 | D 77 | rR:μσmM 0.12 0.21 0.00 0.71 | F:μσmM 290.7 61.0 103.0 324.0 | H 1.930 | V 0.047 | pL 0.006 | vL 0.001 | ∇ 0.023
