-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 1 1

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=986197, spec=[0, 6, 1, 1], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 1 1

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=911126, spec=[0, 6, 1, 1], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0693 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.913 | V -0.140 | pL -0.022 | vL 0.001 | ∇ 0.079
U 1 | F 002048 | FPS 0686 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.917 | V 0.022 | pL 0.009 | vL 0.001 | ∇ 0.047
U 2 | F 004096 | FPS 0686 | D 5 | rR:μσmM 0.04 0.14 0.00 0.56 | F:μσmM 9.8 38.0 0.0 157.0 | H 1.925 | V -0.102 | pL -0.026 | vL 0.002 | ∇ 0.044
U 2 | F 004096 | FPS 0677 | D 6 | rR:μσmM 0.03 0.13 0.00 0.53 | F:μσmM 10.5 40.7 0.0 168.0 | H 1.924 | V 0.029 | pL 0.001 | vL 0.001 | ∇ 0.023
U 3 | F 006144 | FPS 0694 | D 8 | rR:μσmM 0.05 0.14 0.00 0.56 | F:μσmM 312.2 40.4 157.0 324.0 | H 1.927 | V -0.086 | pL -0.029 | vL 0.001 | ∇ 0.037
U 3 | F 006144 | FPS 0686 | D 9 | rR:μσmM 0.03 0.13 0.00 0.53 | F:μσmM 314.2 37.8 168.0 324.0 | H 1.934 | V 0.026 | pL 0.009 | vL 0.000 | ∇ 0.010
U 4 | F 008192 | FPS 0698 | D 11 | rR:μσmM 0.05 0.15 0.00 0.57 | F:μσmM 308.9 43.7 153.0 324.0 | H 1.930 | V -0.059 | pL -0.020 | vL 0.001 | ∇ 0.028
U 4 | F 008192 | FPS 0679 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.939 | V 0.021 | pL 0.003 | vL 0.000 | ∇ 0.007
U 5 | F 010240 | FPS 0694 | D 14 | rR:μσmM 0.07 0.15 0.00 0.57 | F:μσmM 306.9 43.7 153.0 324.0 | H 1.936 | V -0.043 | pL -0.010 | vL 0.000 | ∇ 0.017
U 5 | F 010240 | FPS 0670 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.942 | V 0.017 | pL 0.003 | vL 0.000 | ∇ 0.006
U 6 | F 012288 | FPS 0702 | D 17 | rR:μσmM 0.05 0.14 0.00 0.57 | F:μσmM 311.4 41.6 153.0 324.0 | H 1.939 | V -0.035 | pL -0.009 | vL 0.000 | ∇ 0.013
U 6 | F 012288 | FPS 0681 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.014 | pL 0.003 | vL 0.000 | ∇ 0.004
U 7 | F 014336 | FPS 0691 | D 20 | rR:μσmM 0.01 0.05 0.00 0.19 | F:μσmM 322.1 7.5 293.0 324.0 | H 1.940 | V -0.033 | pL -0.005 | vL 0.000 | ∇ 0.010
