-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 6 1 1

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=352703, spec=[1, 6, 1, 1], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 6 1 1

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=395447, spec=[1, 6, 1, 1], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0683 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.911 | V 0.535 | pL 0.091 | vL 0.002 | ∇ 0.084
U 1 | F 002048 | FPS 0679 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.911 | V -0.397 | pL -0.066 | vL 0.001 | ∇ 0.053
U 2 | F 004096 | FPS 0690 | D 5 | rR:μσmM 0.02 0.07 0.00 0.31 | F:μσmM 15.6 60.5 0.0 250.0 | H 1.879 | V 0.435 | pL 0.074 | vL 0.001 | ∇ 0.063
U 2 | F 004096 | FPS 0670 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.904 | V -0.352 | pL -0.061 | vL 0.001 | ∇ 0.057
U 3 | F 006144 | FPS 0699 | D 8 | rR:μσmM 0.02 0.07 0.00 0.31 | F:μσmM 319.4 17.9 250.0 324.0 | H 1.895 | V 0.335 | pL 0.113 | vL 0.011 | ∇ 0.110
U 3 | F 006144 | FPS 0682 | D 9 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.893 | V -0.256 | pL -0.094 | vL 0.006 | ∇ 0.092
U 4 | F 008192 | FPS 0687 | D 11 | rR:μσmM 0.07 0.19 0.00 0.59 | F:μσmM 302.2 57.7 146.0 324.0 | H 1.882 | V 0.308 | pL 0.043 | vL 0.001 | ∇ 0.045
U 4 | F 008192 | FPS 0680 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.897 | V -0.240 | pL -0.042 | vL 0.000 | ∇ 0.040
U 5 | F 010240 | FPS 0692 | D 14 | rR:μσmM 0.11 0.20 0.00 0.59 | F:μσmM 294.5 58.7 146.0 324.0 | H 1.908 | V 0.254 | pL 0.044 | vL 0.001 | ∇ 0.039
U 5 | F 010240 | FPS 0669 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.916 | V -0.203 | pL -0.036 | vL 0.000 | ∇ 0.026
U 6 | F 012288 | FPS 0691 | D 17 | rR:μσmM 0.08 0.16 0.00 0.57 | F:μσmM 303.5 44.6 153.0 324.0 | H 1.903 | V 0.202 | pL 0.043 | vL 0.002 | ∇ 0.033
U 6 | F 012288 | FPS 0681 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.913 | V -0.164 | pL -0.041 | vL 0.001 | ∇ 0.034
U 7 | F 014336 | FPS 0688 | D 20 | rR:μσmM 0.05 0.11 0.00 0.36 | F:μσmM 313.2 25.3 229.0 324.0 | H 1.926 | V 0.170 | pL 0.031 | vL 0.001 | ∇ 0.036
