-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 7 1 6

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=894904, spec=[1, 7, 1, 6], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 7 1 6

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=902231, spec=[1, 7, 1, 6], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

Optimizer loaded

U 1 | F 002048 | FPS 0662 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.853 | V -0.422 | pL -0.076 | vL 0.001 | ∇ 0.099
U 1 | F 002048 | FPS 0666 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.858 | V -0.178 | pL -0.031 | vL 0.002 | ∇ 0.110
U 2 | F 004096 | FPS 0662 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.883 | V -0.349 | pL -0.061 | vL 0.000 | ∇ 0.066
U 2 | F 004096 | FPS 0664 | D 6 | rR:μσmM 0.02 0.08 0.00 0.33 | F:μσmM 15.1 58.6 0.0 242.0 | H 1.885 | V -0.163 | pL -0.034 | vL 0.001 | ∇ 0.058
U 3 | F 006144 | FPS 0669 | D 9 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 322.5 5.8 300.0 324.0 | H 1.892 | V -0.261 | pL -0.094 | vL 0.005 | ∇ 0.093
U 3 | F 006144 | FPS 0674 | D 9 | rR:μσmM 0.02 0.08 0.00 0.33 | F:μσmM 318.9 19.8 242.0 324.0 | H 1.896 | V -0.128 | pL -0.044 | vL 0.001 | ∇ 0.053
U 4 | F 008192 | FPS 0664 | D 12 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 322.5 5.8 300.0 324.0 | H 1.900 | V -0.241 | pL -0.042 | vL 0.000 | ∇ 0.057
U 4 | F 008192 | FPS 0668 | D 12 | rR:μσmM 0.02 0.08 0.00 0.33 | F:μσmM 318.9 19.8 242.0 324.0 | H 1.915 | V -0.106 | pL -0.019 | vL 0.000 | ∇ 0.022
U 5 | F 010240 | FPS 0665 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.905 | V -0.207 | pL -0.039 | vL 0.000 | ∇ 0.048
U 5 | F 010240 | FPS 0665 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.921 | V -0.088 | pL -0.016 | vL 0.000 | ∇ 0.015
U 6 | F 012288 | FPS 0665 | D 18 | rR:μσmM 0.05 0.18 0.00 0.74 | F:μσmM 309.6 55.9 93.0 324.0 | H 1.899 | V -0.160 | pL -0.048 | vL 0.003 | ∇ 0.073
U 6 | F 012288 | FPS 0672 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.930 | V -0.074 | pL -0.018 | vL 0.000 | ∇ 0.032
U 7 | F 014336 | FPS 0669 | D 21 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.941 | V -0.056 | pL -0.011 | vL 0.000 | ∇ 0.021
