-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 7 1 7

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=504626, spec=[1, 7, 1, 7], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 7 1 7

Optimizer loaded

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=267076, spec=[1, 7, 1, 7], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0714 | D 2 | rR:μσmM 0.13 0.27 0.00 0.73 | F:μσmM 20.2 42.3 0.0 116.0 | H 1.780 | V -0.471 | pL -0.119 | vL 0.016 | ∇ 0.134
U 1 | F 002048 | FPS 0670 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.829 | V -0.688 | pL -0.125 | vL 0.001 | ∇ 0.103
U 2 | F 004096 | FPS 0729 | D 5 | rR:μσmM 0.13 0.27 0.00 0.73 | F:μσmM 20.2 42.3 0.0 116.0 | H 1.820 | V -0.407 | pL -0.072 | vL 0.001 | ∇ 0.094
U 2 | F 004096 | FPS 0670 | D 6 | rR:μσmM 0.03 0.11 0.00 0.45 | F:μσmM 12.3 47.7 0.0 197.0 | H 1.867 | V -0.590 | pL -0.116 | vL 0.005 | ∇ 0.108
U 3 | F 006144 | FPS 0730 | D 8 | rR:μσmM 0.14 0.30 0.00 0.89 | F:μσmM 279.8 93.2 40.0 324.0 | H 1.822 | V -0.307 | pL -0.112 | vL 0.010 | ∇ 0.132
U 3 | F 006144 | FPS 0674 | D 9 | rR:μσmM 0.03 0.11 0.00 0.45 | F:μσmM 316.1 30.7 197.0 324.0 | H 1.901 | V -0.467 | pL -0.156 | vL 0.014 | ∇ 0.175
U 4 | F 008192 | FPS 0729 | D 11 | rR:μσmM 0.24 0.36 0.00 0.91 | F:μσmM 250.3 112.2 31.0 324.0 | H 1.801 | V -0.235 | pL -0.087 | vL 0.013 | ∇ 0.111
U 4 | F 008192 | FPS 0671 | D 12 | rR:μσmM 0.03 0.11 0.00 0.45 | F:μσmM 316.1 30.7 197.0 324.0 | H 1.899 | V -0.366 | pL -0.067 | vL 0.000 | ∇ 0.073
U 5 | F 010240 | FPS 0735 | D 14 | rR:μσmM 0.37 0.35 0.00 0.91 | F:μσmM 210.9 111.5 31.0 324.0 | H 1.866 | V -0.198 | pL -0.059 | vL 0.006 | ∇ 0.071
U 5 | F 010240 | FPS 0670 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.923 | V -0.313 | pL -0.056 | vL 0.001 | ∇ 0.075
U 6 | F 012288 | FPS 0731 | D 17 | rR:μσmM 0.19 0.27 0.00 0.76 | F:μσmM 270.6 80.1 86.0 324.0 | H 1.918 | V -0.160 | pL -0.041 | vL 0.002 | ∇ 0.043
U 6 | F 012288 | FPS 0675 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.927 | V -0.252 | pL -0.060 | vL 0.003 | ∇ 0.079
U 7 | F 014336 | FPS 0728 | D 20 | rR:μσmM 0.05 0.15 0.00 0.59 | F:μσmM 309.9 43.9 146.0 324.0 | H 1.938 | V -0.126 | pL -0.033 | vL 0.001 | ∇ 0.028
