update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,1692.675328606155,0,0.0,0.0,0.0,0.0,0.375,1.4523687548277813,0.0,6.0,1.9238792657852173,-0.16131535172462463,0.07757614552974701,0.013932906091213226,tensor(0.2280),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,1880.7747432142708,0,0.0,0.0,0.0,0.0,0.375,1.4523687548277813,0.0,6.0,1.8220698833465576,0.7806447744369507,0.11768785119056702,0.17595048248767853,tensor(0.5572),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,937.0488813798352,0,0.0,0.0,0.0,0.0,3.9375,7.386378933550593,0.0,20.0,1.8495452404022217,0.6922231912612915,-0.12409275770187378,0.056633755564689636,tensor(0.3503),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,1796.2397435811647,0,0.0,0.0,0.0,0.0,4.625,7.498958260985321,0.0,20.0,1.8772401809692383,0.13382568955421448,0.0413304902613163,0.004478145390748978,tensor(0.0742),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,1848.4807894256626,0,0.0,0.0,0.0,0.0,4.625,7.498958260985321,0.0,20.0,1.9043340682983398,0.23758843541145325,-0.007504589390009642,0.0012397507671266794,tensor(0.0214),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,768,1802.3362551405792,0,0.0,0.0,0.0,0.0,4.625,7.498958260985321,0.0,20.0,1.9061641693115234,0.22282853722572327,-0.018135422840714455,0.0003906633937731385,tensor(0.0239),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,896,1679.8529133838558,0,0.0,0.0,0.0,0.0,4.625,7.498958260985321,0.0,20.0,1.9099403619766235,0.17689248919487,-0.009356127120554447,0.001225314917974174,tensor(0.0204),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,1024,1591.8842181731925,0,0.0,0.0,0.0,0.0,6.4375,9.420514516203454,0.0,29.0,1.9133285284042358,0.1726073920726776,-0.0282856747508049,0.001178290112875402,tensor(0.0357),0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
