update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,1562.672294027672,0,0.0,0.0,0,0,0.0,0.0,0,0,1.928270161151886,-0.1319172941148281,-0.01433467399328947,0.002466976351570338,0.08410312461221435,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,2048,1489.290307368281,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9290525913238525,-0.08461423218250275,-0.015709095634520054,0.00022876950970385224,0.03156948236089177,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,3072,1304.2045494159124,2,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9346493780612946,-0.0691361790522933,-0.02491863537579775,0.00047878352779662237,0.022575488577346946,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,4096,1371.9976488988157,2,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.937446415424347,-0.048102857545018196,-0.00845652911812067,5.5122418416431174e-05,0.007790865280128999,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,5120,1571.4440989720958,3,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9413434267044067,-0.04040378611534834,-0.006580934394150972,3.673521314340178e-05,0.005617841375913149,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,6144,1578.136269705726,4,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9425395131111145,-0.029123493004590273,-0.008048250107094646,7.122215720301028e-05,0.005989798262062809,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,7168,1036.0428160316485,5,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.942962497472763,-0.02252242900431156,-0.004429757012985647,9.310651876148768e-06,0.002714854549178994,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,8192,1270.4335172197557,6,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9439842700958252,-0.014568901853635907,-0.005697725107893348,2.5187089249811834e-05,0.004559113095126486,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,9216,1419.0761284797366,6,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9445039331912994,-0.012211484601721168,-0.002671400550752878,9.085397550734342e-06,0.0022435454395226227,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,10240,937.4145617057015,7,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9449452459812164,-0.008690603077411652,-0.0016548922867514193,2.2660289005216327e-06,0.0014008711578891028,0.0,0.0,0.0,0.0
11,11264,1699.4984150424364,8,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9450367391109467,-0.00685847457498312,-0.0021675906027667224,5.196350457481458e-06,0.0015127544615733098,0.0,0.0,0.0,0.0
12,12288,1598.3920299361196,9,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9451692700386047,-0.0059973071329295635,-0.0008211596141336486,4.123514770526526e-06,0.0011181460453378834,0.0,0.0,0.0,0.0
13,13312,1156.8464948631045,9,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9451444745063782,-0.004880376975052059,-0.001961797825060785,2.010098933169502e-05,0.0019653376585836682,0.0,0.0,0.0,0.0
14,14336,1511.8764328174375,10,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9450689852237701,-0.004202662268653512,-0.0007371404499281198,4.975109277438605e-06,0.0009530699061502501,0.0,0.0,0.0,0.0
15,15360,1180.8973337362254,11,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.945266604423523,-0.003279479220509529,-0.0006423231243388727,2.7807017772829568e-06,0.0006916204145003872,0.0,0.0,0.0,0.0
16,16384,1651.2550772155053,12,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9453960955142975,-0.0023098852834664285,-0.0008695759897818789,2.5771662990337063e-06,0.0009906963576331775,0.0,0.0,0.0,0.0
17,17408,1665.094202016427,12,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9453634023666382,-0.0018162975902669132,-0.0006095349526731297,1.9687754218011833e-06,0.0007880593717998092,0.0,0.0,0.0,0.0
18,18432,1686.552282340819,13,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.945489764213562,-0.001427801325917244,-0.0005464254718390293,1.0460002073386931e-06,0.0006820710304641344,0.0,0.0,0.0,0.0
19,19456,1522.6876140916506,14,0.07083333283662796,0.18740738321958295,0.0,0.5666666626930237,303.0,55.560777532356404,156.0,324.0,1.9427319169044495,0.013255672995001078,-0.010174424620345235,0.0020518084929790348,0.021296595707625786,0.07083333283662796,0.18740738321958295,0.0,0.5666666626930237
20,20480,1063.5527230252374,15,0.07083333283662796,0.18740738321958295,0.0,0.5666666626930237,303.0,55.560777532356404,156.0,324.0,1.9383738934993744,-0.0030820727988611907,0.00011699135939124972,0.00010608402953948826,0.004948011745355941,0.07083333283662796,0.18740738321958295,0.0,0.5666666626930237
21,21504,1662.6885572863478,15,0.07083333283662796,0.18740738321958295,0.0,0.5666666626930237,303.0,55.560777532356404,156.0,324.0,1.9420311450958252,-0.0006845630978205008,-0.00035436197595117847,2.7100538773083827e-05,0.002385514124973835,0.07083333283662796,0.18740738321958295,0.0,0.5666666626930237
22,22528,1598.0227140473778,16,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9435575008392334,6.478140494436957e-05,0.00010309140998288058,9.218961622536881e-06,0.0013137349785625804,0.0,0.0,0.0,0.0
23,23552,1568.3437163711865,16,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9442465603351593,0.0003833231603493914,9.614913005862036e-05,1.050043101713527e-05,0.0012052592640326833,0.0,0.0,0.0,0.0
24,24576,1550.6013620846018,17,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9447046220302582,-2.7441961492513656e-05,-5.068648715678137e-05,2.118067158107806e-06,0.0005327657757926093,0.0,0.0,0.0,0.0
25,25600,1678.4598600790816,18,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9449794292449951,0.00011723673560481984,-4.919147613691166e-07,1.7664062283984094e-06,0.0004461513619229917,0.0,0.0,0.0,0.0
26,26624,1567.4027722986182,18,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9451188147068024,-0.00025024488422786817,3.611106512835249e-05,3.506742643821781e-06,0.0008077884239669146,0.0,0.0,0.0,0.0
27,27648,1558.0205827150176,19,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.94512739777565,0.00022954694941290654,-0.00017012240573421877,3.4921199016935134e-06,0.0007974889829143793,0.0,0.0,0.0,0.0
28,28672,1397.282613052248,20,0.01944444514811039,0.05144516624353658,0.0,0.15555556118488312,321.5,6.614378277661476,304.0,324.0,1.9452558755874634,0.003816124110016972,-0.0025390661612618715,0.00012494459770096,0.0034136228078136006,0.01944444514811039,0.05144516624353658,0.0,0.15555556118488312
29,29696,1298.2878478727566,21,0.01944444514811039,0.05144516624353658,0.0,0.15555556118488312,321.5,6.614378277661476,304.0,324.0,1.945087492465973,0.0014191326044965535,0.0001895539608085528,7.180570264608832e-06,0.0011233310110794611,0.01944444514811039,0.05144516624353658,0.0,0.15555556118488312
30,30720,1706.1577852433509,21,0.01944444514811039,0.05144516624353658,0.0,0.15555556118488312,321.5,6.614378277661476,304.0,324.0,1.9451467096805573,0.001356083113932982,0.00015063453611219302,4.089442143140332e-06,0.0007293029310749325,0.01944444514811039,0.05144516624353658,0.0,0.15555556118488312
31,31744,1399.8041549893214,22,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9453336596488953,0.0007095150940585881,0.00030614509523729794,5.425685230875388e-06,0.0006678160441801046,0.0,0.0,0.0,0.0
32,32768,1615.621161600963,23,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9454562664031982,0.0006909490621183068,5.220265120442491e-05,1.6744198774176766e-06,0.0005699325375653977,0.0,0.0,0.0,0.0
33,33792,1662.2484048873184,23,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9455337226390839,0.000673711285344325,0.00028311445566941984,6.755526698043468e-07,0.00035706677163054653,0.0,0.0,0.0,0.0
34,34816,1701.8675100914181,24,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.945548266172409,0.0004208516184007749,0.00010895757469597811,1.6888075720089546e-06,0.0005378177242232748,0.0,0.0,0.0,0.0
35,35840,1701.1806148695805,24,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9456257820129395,0.0003880406147800386,7.984253443282796e-05,4.611397557141572e-07,0.0002665525587805801,0.0,0.0,0.0,0.0
36,36864,1747.441086375511,25,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9456247687339783,0.0004174348068772815,0.00018187343994213734,1.0872161340103048e-06,0.00038679488356535926,0.0,0.0,0.0,0.0
37,37888,1743.6697793134638,26,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9456378817558289,0.0004070651775691658,0.00012051703743054532,7.045681797990255e-07,0.0003593925067222702,0.0,0.0,0.0,0.0
38,38912,1693.4962529877916,26,0.02291666716337204,0.06063180219272243,0.0,0.18333333730697632,320.25,9.921567416492215,294.0,324.0,1.9451510608196259,0.002473628948791884,-0.002317847858648747,0.00014271120744524524,0.005381464079327541,0.02291666716337204,0.06063180219272243,0.0,0.18333333730697632
39,39936,1632.5646078584161,27,0.02291666716337204,0.06063180219272243,0.0,0.18333333730697632,320.25,9.921567416492215,294.0,324.0,1.9450171887874603,0.002654153504408896,0.0004077739758940879,1.446713758923579e-05,0.002303168631690868,0.02291666716337204,0.06063180219272243,0.0,0.18333333730697632
40,40960,1709.3730457478673,27,0.02291666716337204,0.06063180219272243,0.0,0.18333333730697632,320.25,9.921567416492215,294.0,324.0,1.945162683725357,0.0024700022768229246,0.0008665335190016776,5.312352072905924e-06,0.0010297568186913182,0.02291666716337204,0.06063180219272243,0.0,0.18333333730697632
41,41984,1631.087780913811,28,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9453453123569489,0.002647849207278341,0.0007390303653664887,3.791907886352419e-06,0.0006828350520827884,0.0,0.0,0.0,0.0
42,43008,1543.0545296989062,29,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.945453554391861,0.001889020059024915,0.0004274431412341073,1.300390579217492e-06,0.0006225880851188569,0.0,0.0,0.0,0.0
43,44032,1592.7088962091016,29,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9455782175064087,0.0012960784952156246,0.00029374490623013116,1.0265116117125217e-06,0.00033426825832579785,0.0,0.0,0.0,0.0
44,45056,1684.9867891322035,30,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.945581167936325,0.0007858236058382317,0.0004511862134677358,2.4063275247954152e-06,0.0004325013230766988,0.0,0.0,0.0,0.0
45,46080,1496.8156428358095,31,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9454310536384583,0.0007469080519513227,6.931808820809238e-05,3.5245028584540705e-06,0.0006287126533470464,0.0,0.0,0.0,0.0
46,47104,1687.0630526450168,31,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9455941319465637,0.0004379609672469087,0.00018506214109947905,1.0574925113360223e-06,0.0002866054545610559,0.0,0.0,0.0,0.0
47,48128,1451.0828626991495,32,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9455989003181458,0.0006478246505139396,2.519355666663614e-05,1.7228271076419333e-06,0.00044027539609698123,0.0,0.0,0.0,0.0
48,49152,1033.5742849572766,33,0.02569444477558136,0.0679811109520711,0.0,0.20555555820465088,319.25,12.567318727556806,286.0,324.0,1.9454163014888763,0.0021571883116848767,-0.00318596902070567,0.00018080564041156322,0.006325061699933863,0.02569444477558136,0.0679811109520711,0.0,0.20555555820465088
49,50176,1340.792911319063,34,0.02569444477558136,0.0679811109520711,0.0,0.20555555820465088,319.25,12.567318727556806,286.0,324.0,1.9453765749931335,0.004530742415226996,0.0002962057260447182,1.1823090517282253e-05,0.001478580703198516,0.02569444477558136,0.0679811109520711,0.0,0.20555555820465088
50,51200,1354.115927708891,35,0.02569444477558136,0.0679811109520711,0.0,0.20555555820465088,319.25,12.567318727556806,286.0,324.0,1.9451559782028198,0.006366615183651447,0.0010187016014242545,1.1631906545517268e-05,0.0017145740997340105,0.02569444477558136,0.0679811109520711,0.0,0.20555555820465088
51,52224,1224.8874195831759,35,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.945412665605545,0.005150689394213259,0.0015746495628263801,4.976548552804161e-06,0.0013568983206419156,0.0,0.0,0.0,0.0
52,53248,1393.9254557392032,36,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9455456137657166,0.00376083014998585,0.000714052133844234,1.2908497808439279e-06,0.0008254672752612153,0.0,0.0,0.0,0.0
53,54272,1319.6930103363936,37,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9456166923046112,0.002665553067345172,0.0006795183871872723,1.597196188640737e-06,0.0005850657752727718,0.0,0.0,0.0,0.0
54,55296,1323.3684917582325,38,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9457041025161743,0.002163965080399066,0.0004988647779100575,6.588085597059035e-07,0.0004307207203593648,0.0,0.0,0.0,0.0
55,56320,864.3334843329055,39,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9456488490104675,0.002256634325021878,0.00042652823321986943,6.302005488123541e-06,0.0011842208515554496,0.0,0.0,0.0,0.0
56,57344,1023.5680533756077,40,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9456975758075714,0.0009360669064335525,0.0003054090448131319,4.919396019431588e-07,0.0002254910037247304,0.0,0.0,0.0,0.0
57,58368,1557.632401031563,41,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9456803798675537,0.00043859258039447013,0.000321892792271683,1.774708636048672e-06,0.0008067466040118122,0.0,0.0,0.0,0.0
58,59392,1363.4427257633909,41,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.945691078901291,-0.00023477401919080876,-8.654821976961102e-05,8.506458470947109e-07,0.00031535423952869354,0.0,0.0,0.0,0.0
59,60416,1460.8180765964278,42,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9458056092262268,-0.00015786961739649996,-1.3753333405475132e-07,1.5343555048730195e-07,0.00018785635288069724,0.0,0.0,0.0,0.0
60,61440,1656.2556213820951,43,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9457498788833618,7.337811985053122e-05,-1.968579135791515e-05,3.8234781385426686e-07,0.00025776747539143623,0.0,0.0,0.0,0.0
